Cust_ID,Age,Customer_Segment
CC78932,38,Diamond
CC52755,46,Diamond
CC73370,47,Diamond
CC52006,45,Diamond
CC24714,22,Diamond
CC69780,32,Diamond
CC47636,45,Diamond
CC98467,26,Diamond
CC23694,36,Diamond
CC21190,32,Diamond
CC74987,42,Diamond
CC49747,47,Diamond
CC65887,38,Diamond
CC47031,48,Diamond
CC59633,20,Diamond
CC29476,20,Diamond
CC82015,45,Diamond
CC15093,32,Diamond
CC83792,20,Diamond
CC97286,44,Diamond
CC41077,49,Diamond
CC72437,26,Diamond
CC99931,45,Diamond
CC87410,30,Diamond
CC52071,39,Diamond
CC37761,23,Diamond
CC95631,39,Diamond
CC87948,50,Diamond
CC42497,23,Diamond
CC93639,44,Diamond
CC92724,39,Diamond
CC19629,48,Diamond
CC81849,45,Diamond
CC13765,20,Diamond
CC14895,27,Diamond
CC53164,49,Diamond
CC43185,47,Diamond
CC28587,22,Diamond
CC50169,28,Diamond
CC26049,22,Diamond
CC23339,31,Diamond
CC68608,41,Diamond
CC30149,48,Diamond
CC12373,28,Diamond
CC16573,25,Diamond
CC24087,50,Diamond
CC41952,28,Diamond
CC64327,23,Diamond
CC18336,28,Diamond
CC89189,34,Diamond
CC70834,31,Diamond
CC92904,30,Diamond
CC67124,25,Diamond
CC13870,23,Diamond
CC22441,27,Diamond
CC35190,39,Diamond
CC39947,32,Diamond
CC51009,45,Diamond
CC48607,37,Diamond
CC70677,31,Diamond
CC17738,37,Diamond
CC78973,27,Diamond
CC59094,27,Diamond
CC73209,35,Diamond
CC41731,35,Diamond
CC38247,37,Diamond
CC99068,47,Diamond
CC88526,30,Diamond
CC53869,34,Diamond
CC23039,33,Diamond
CC38072,45,Diamond
CC17434,41,Diamond
CC42726,37,Diamond
CC14231,42,Diamond
CC68920,33,Diamond
CC36629,37,Diamond
CC93075,32,Diamond
CC49405,21,Diamond
CC15567,21,Diamond
CC64668,50,Diamond
CC56389,33,Diamond
CC44495,25,Diamond
CC73835,50,Diamond
CC87898,27,Diamond
CC62033,31,Diamond
CC90221,22,Diamond
CC61692,30,Diamond
CC26280,29,Diamond
CC51656,38,Diamond
CC69374,32,Diamond
CC64111,41,Diamond
CC13345,48,Diamond
CC90045,22,Diamond
CC90973,39,Diamond
CC97634,22,Diamond
CC56666,45,Diamond
CC16836,29,Diamond
CC91817,42,Diamond
CC77519,48,Diamond
CC85663,35,Diamond
CC64492,21,Diamond
CC35596,39,Diamond
CC87603,34,Diamond
CC82571,38,Diamond
CC45386,29,Diamond
CC80032,44,Diamond
CC80390,42,Diamond
CC82676,43,Diamond
CC28284,44,Diamond
CC11813,49,Diamond
CC71417,21,Diamond
CC95790,34,Diamond
CC57906,27,Diamond
CC83871,29,Diamond
CC97262,20,Diamond
CC12278,36,Diamond
CC41850,33,Diamond
CC28794,49,Diamond
CC68752,33,Diamond
CC18570,50,Diamond
CC60741,28,Diamond
CC37031,38,Diamond
CC67594,44,Diamond
CC29886,45,Diamond
CC51799,44,Diamond
CC59276,46,Diamond
CC77747,34,Diamond
CC84081,36,Diamond
CC85420,50,Diamond
CC53913,41,Diamond
CC99226,20,Diamond
CC74043,24,Diamond
CC63999,20,Diamond
CC14436,20,Diamond
CC22679,37,Diamond
CC33574,44,Diamond
CC78221,25,Diamond
CC88282,38,Diamond
CC18170,23,Diamond
CC42695,40,Diamond
CC97616,49,Diamond
CC86571,32,Diamond
CC74801,30,Diamond
CC57368,36,Diamond
CC41267,30,Diamond
CC64204,29,Diamond
CC68953,23,Diamond
CC60418,50,Diamond
CC86393,38,Diamond
CC32990,21,Diamond
CC17105,43,Diamond
CC27762,44,Diamond
CC42877,35,Diamond
CC56314,46,Diamond
CC75857,22,Diamond
CC40905,22,Diamond
CC19524,38,Diamond
CC99296,20,Diamond
CC12059,32,Diamond
CC37324,42,Diamond
CC40637,44,Diamond
CC51365,34,Diamond
CC41847,31,Diamond
CC87229,21,Diamond
CC68609,31,Diamond
CC82924,30,Diamond
CC40118,49,Diamond
CC78726,40,Diamond
CC16071,45,Diamond
CC51588,30,Diamond
CC47700,46,Diamond
CC47668,23,Diamond
CC84462,29,Diamond
CC27298,21,Diamond
CC51061,22,Diamond
CC60744,21,Diamond
CC33809,37,Diamond
CC47168,25,Diamond
CC91933,41,Diamond
CC35933,49,Diamond
CC62873,49,Diamond
CC82636,20,Diamond
CC20613,49,Diamond
CC20412,47,Diamond
CC40269,31,Diamond
CC22324,39,Diamond
CC20042,46,Diamond
CC73782,27,Diamond
CC26296,44,Diamond
CC64030,46,Diamond
CC54422,29,Diamond
CC93379,23,Diamond
CC83813,48,Diamond
CC53782,48,Diamond
CC31396,23,Diamond
CC53728,46,Diamond
CC42551,38,Diamond
CC98491,46,Diamond
CC30153,50,Diamond
CC38829,25,Diamond
CC66074,33,Diamond
CC66770,27,Diamond
CC36387,47,Diamond
CC36459,40,Diamond
CC23102,30,Diamond
CC89576,26,Diamond
CC17653,26,Diamond
CC31674,50,Diamond
CC20351,46,Diamond
CC55605,39,Diamond
CC60655,21,Diamond
CC12502,39,Diamond
CC97712,42,Diamond
CC83585,23,Diamond
CC31730,44,Diamond
CC80781,42,Diamond
CC25798,23,Diamond
CC64329,47,Diamond
CC92021,30,Diamond
CC50247,41,Diamond
CC56556,33,Diamond
CC68483,23,Diamond
CC60672,45,Diamond
CC66243,45,Diamond
CC17188,38,Diamond
CC12864,33,Diamond
CC64828,39,Diamond
CC67361,22,Diamond
CC37473,33,Diamond
CC60215,40,Diamond
CC14836,32,Diamond
CC76661,28,Diamond
CC74399,49,Diamond
CC58906,48,Diamond
CC83749,35,Diamond
CC23940,27,Diamond
CC11118,22,Diamond
CC60494,31,Diamond
CC30212,36,Diamond
CC57740,41,Diamond
CC18212,50,Diamond
CC13644,44,Diamond
CC83307,35,Diamond
CC35792,20,Diamond
CC76956,27,Diamond
CC88281,50,Diamond
CC14734,29,Diamond
CC97733,43,Diamond
CC22778,23,Diamond
CC65002,32,Diamond
CC48565,37,Diamond
CC93949,48,Diamond
CC54337,48,Diamond
CC12249,21,Diamond
CC30321,21,Diamond
CC42161,38,Diamond
CC18257,31,Diamond
CC97702,25,Diamond
CC24052,40,Diamond
CC63683,23,Diamond
CC51400,26,Diamond
CC77029,49,Diamond
CC57400,26,Diamond
CC58924,24,Diamond
CC55136,20,Diamond
CC95547,35,Diamond
CC91420,24,Diamond
CC18334,25,Diamond
CC80932,47,Diamond
CC99306,24,Diamond
CC73465,38,Diamond
CC84980,36,Diamond
CC82532,45,Diamond
CC30400,27,Diamond
CC78259,35,Diamond
CC36858,39,Diamond
CC78124,43,Diamond
CC30138,36,Diamond
CC52704,45,Diamond
CC92122,33,Diamond
CC41564,31,Diamond
CC62007,32,Diamond
CC25575,24,Diamond
CC37456,49,Diamond
CC64858,48,Diamond
CC92026,21,Diamond
CC45135,29,Diamond
CC11805,39,Diamond
CC53056,40,Diamond
CC41014,36,Diamond
CC74942,23,Diamond
CC35750,20,Diamond
CC93130,21,Diamond
CC14227,47,Diamond
CC61610,25,Diamond
CC40226,44,Diamond
CC19794,22,Diamond
CC34586,46,Diamond
CC29718,36,Diamond
CC11966,30,Diamond
CC88425,33,Diamond
CC46950,40,Diamond
CC69045,41,Diamond
CC54570,34,Diamond
CC74891,40,Diamond
CC30036,43,Diamond
CC37398,39,Diamond
CC83282,35,Diamond
CC36559,32,Diamond
CC80812,27,Diamond
CC99574,46,Diamond
CC57481,26,Diamond
CC18125,40,Diamond
CC29574,43,Diamond
CC94620,42,Diamond
CC88916,20,Diamond
CC69778,48,Diamond
CC95958,24,Diamond
CC45588,33,Diamond
CC36877,22,Diamond
CC50028,27,Diamond
CC25480,44,Diamond
CC57364,22,Diamond
CC75439,36,Diamond
CC69171,41,Diamond
CC51575,34,Diamond
CC87698,34,Diamond
CC87032,27,Diamond
CC23654,27,Diamond
CC76570,43,Diamond
CC83859,29,Diamond
CC37906,33,Diamond
CC56407,41,Diamond
CC45873,27,Diamond
CC69602,29,Diamond
CC22706,32,Diamond
CC53299,24,Diamond
CC77449,34,Diamond
CC89155,35,Diamond
CC75046,34,Diamond
CC50476,36,Diamond
CC91171,48,Diamond
CC59630,44,Diamond
CC52489,23,Diamond
CC84606,35,Diamond
CC67569,23,Diamond
CC61889,27,Diamond
CC75487,33,Diamond
CC56882,26,Diamond
CC64166,29,Diamond
CC41916,46,Diamond
CC66903,20,Diamond
CC94495,49,Diamond
CC26144,50,Diamond
CC56004,38,Diamond
CC37780,47,Diamond
CC95287,33,Diamond
CC59153,50,Diamond
CC19820,37,Diamond
CC57479,30,Diamond
CC83469,20,Diamond
CC52079,33,Diamond
CC61390,36,Diamond
CC22267,25,Diamond
CC59755,34,Diamond
CC60827,48,Diamond
CC18438,41,Diamond
CC82469,45,Diamond
CC31679,38,Diamond
CC69907,22,Diamond
CC31266,31,Diamond
CC64273,27,Diamond
CC63464,22,Diamond
CC83536,30,Diamond
CC65186,34,Diamond
CC48618,23,Diamond
CC91542,47,Diamond
CC74126,36,Diamond
CC70917,22,Diamond
CC61057,21,Diamond
CC56031,36,Diamond
CC31473,46,Diamond
CC56344,45,Diamond
CC19154,21,Diamond
CC29840,48,Diamond
CC72209,37,Diamond
CC82408,46,Diamond
CC92097,20,Diamond
CC34124,45,Diamond
CC97528,31,Diamond
CC78843,42,Diamond
CC67714,26,Diamond
CC77698,25,Diamond
CC32637,43,Diamond
CC25375,39,Diamond
CC45662,30,Diamond
CC90833,32,Diamond
CC43146,34,Diamond
CC43749,32,Diamond
CC51258,21,Diamond
CC44758,25,Diamond
CC77429,32,Diamond
CC58083,49,Diamond
CC44293,26,Diamond
CC77298,36,Diamond
CC33189,36,Diamond
CC88367,44,Diamond
CC67025,39,Diamond
CC45701,45,Diamond
CC57427,49,Diamond
CC44020,39,Diamond
CC44250,41,Diamond
CC21701,29,Diamond
CC91827,47,Diamond
CC24556,44,Diamond
CC94859,32,Diamond
CC13701,37,Diamond
CC41412,23,Diamond
CC43294,44,Diamond
CC56834,31,Diamond
CC96682,43,Diamond
CC52606,25,Diamond
CC21909,42,Diamond
CC94926,26,Diamond
CC73918,33,Diamond
CC67310,49,Diamond
CC89895,24,Diamond
CC88608,35,Diamond
CC97252,34,Diamond
CC50125,49,Diamond
CC43784,22,Diamond
CC52866,43,Diamond
CC31191,23,Diamond
CC51663,42,Diamond
CC99132,39,Diamond
CC22968,36,Diamond
CC34083,41,Diamond
CC58964,37,Diamond
CC55506,45,Diamond
CC89268,47,Diamond
CC31720,25,Diamond
CC20173,49,Diamond
CC33446,50,Diamond
CC55720,45,Diamond
CC28320,27,Diamond
CC68426,36,Diamond
CC56352,20,Diamond
CC86663,37,Diamond
CC74522,23,Diamond
CC31499,29,Diamond
CC71260,44,Diamond
CC74924,45,Diamond
CC66774,42,Diamond
CC51242,34,Diamond
CC22362,47,Diamond
CC49339,49,Diamond
CC52763,20,Diamond
CC99842,49,Diamond
CC79208,34,Diamond
CC69012,48,Diamond
CC75930,26,Diamond
CC50030,24,Diamond
CC20246,48,Diamond
CC11144,48,Diamond
CC17528,45,Diamond
CC26717,47,Diamond
CC87578,33,Diamond
CC46310,27,Diamond
CC27746,35,Diamond
CC39481,44,Diamond
CC46195,37,Diamond
CC84471,22,Diamond
CC66071,26,Diamond
CC86405,35,Diamond
CC98489,33,Diamond
CC79856,48,Diamond
CC41500,40,Diamond
CC70522,39,Diamond
CC38338,50,Diamond
CC96897,20,Diamond
CC30988,23,Diamond
CC87752,33,Diamond
CC21512,21,Diamond
CC75776,34,Diamond
CC33888,25,Diamond
CC39381,25,Diamond
CC46627,42,Diamond
CC19711,28,Diamond
CC59157,38,Diamond
CC41462,50,Diamond
CC67499,49,Diamond
CC34350,38,Diamond
CC26156,38,Diamond
CC38010,45,Diamond
CC12272,45,Diamond
CC86639,42,Diamond
CC79719,30,Diamond
CC82853,42,Diamond
CC46988,48,Diamond
CC35739,47,Diamond
CC13607,20,Diamond
CC43191,41,Diamond
CC83125,46,Diamond
CC31678,30,Diamond
CC11639,20,Diamond
CC47864,20,Diamond
CC33179,46,Diamond
CC35866,43,Diamond
CC47914,41,Diamond
CC20977,25,Diamond
CC17141,34,Diamond
CC61890,35,Diamond
CC98540,32,Diamond
CC57122,20,Diamond
CC94849,25,Diamond
CC22544,48,Diamond
CC57117,20,Diamond
CC13320,26,Diamond
CC33806,29,Diamond
CC58030,27,Diamond
CC50301,25,Diamond
CC30899,23,Diamond
CC77383,24,Diamond
CC88825,45,Diamond
CC80464,38,Diamond
CC66974,28,Diamond
CC68887,31,Diamond
CC93123,35,Diamond
CC91686,46,Diamond
CC80847,33,Diamond
CC72700,40,Diamond
CC90501,30,Diamond
CC68194,24,Diamond
CC94108,22,Diamond
CC83387,24,Diamond
CC87820,32,Diamond
CC52121,40,Diamond
CC37643,33,Diamond
CC33405,28,Diamond
CC78349,30,Diamond
CC57504,32,Diamond
CC35311,21,Diamond
CC54900,40,Diamond
CC72856,48,Diamond
CC37803,21,Diamond
CC41185,43,Diamond
CC73767,30,Diamond
CC65436,46,Diamond
CC40954,33,Diamond
CC44928,20,Diamond
CC22462,44,Diamond
CC85442,42,Diamond
CC51316,45,Diamond
CC70311,45,Diamond
CC36555,33,Diamond
CC78977,31,Diamond
CC86958,20,Diamond
CC37813,46,Diamond
CC97967,50,Diamond
CC62117,35,Diamond
CC95546,38,Diamond
CC37505,47,Diamond
CC18364,44,Diamond
CC30095,30,Diamond
CC85730,44,Diamond
CC20355,39,Diamond
CC30253,41,Diamond
CC63748,31,Diamond
CC63996,46,Diamond
CC18667,38,Diamond
CC75991,35,Diamond
CC86051,33,Diamond
CC35917,32,Diamond
CC11722,45,Diamond
CC33745,31,Diamond
CC62559,43,Diamond
CC95768,40,Diamond
CC39145,36,Diamond
CC67842,32,Diamond
CC65142,31,Diamond
CC39858,44,Diamond
CC49351,38,Diamond
CC27040,27,Diamond
CC36915,43,Diamond
CC65489,37,Diamond
CC55361,27,Diamond
CC65885,49,Diamond
CC70238,46,Diamond
CC80659,44,Diamond
CC41439,33,Diamond
CC40255,34,Diamond
CC76187,37,Diamond
CC43568,20,Diamond
CC55556,34,Diamond
CC43757,26,Diamond
CC43422,43,Diamond
CC85875,36,Diamond
CC97360,28,Diamond
CC85144,28,Diamond
CC98814,28,Diamond
CC25863,24,Diamond
CC55795,40,Diamond
CC59721,36,Diamond
CC52241,45,Diamond
CC73779,21,Diamond
CC40784,25,Diamond
CC48703,26,Diamond
CC21557,42,Diamond
CC88817,24,Diamond
CC17569,33,Diamond
CC65480,41,Diamond
CC59505,30,Diamond
CC18649,24,Diamond
CC62654,47,Diamond
CC62585,30,Diamond
CC70373,31,Diamond
CC34117,38,Diamond
CC67957,24,Diamond
CC69895,43,Diamond
CC96608,28,Diamond
CC81066,32,Diamond
CC58680,34,Diamond
CC51514,35,Diamond
CC93780,43,Diamond
CC18040,41,Diamond
CC79043,50,Diamond
CC26606,28,Diamond
CC70279,24,Diamond
CC48856,40,Diamond
CC55922,22,Diamond
CC96607,48,Diamond
CC97486,20,Diamond
CC79184,48,Diamond
CC80695,29,Diamond
CC40163,36,Diamond
CC79146,32,Diamond
CC70209,31,Diamond
CC11368,35,Diamond
CC94597,36,Diamond
CC97173,22,Diamond
CC14459,24,Diamond
CC26899,38,Diamond
CC94753,34,Diamond
CC84647,43,Diamond
CC29712,46,Diamond
CC47437,41,Diamond
CC19461,31,Diamond
CC86225,26,Diamond
CC77721,37,Diamond
CC43578,40,Diamond
CC67039,28,Diamond
CC45046,30,Diamond
CC52309,21,Diamond
CC58748,48,Diamond
CC59048,25,Diamond
CC33889,50,Diamond
CC44149,27,Diamond
CC24531,24,Diamond
CC28150,48,Diamond
CC73744,37,Diamond
CC19957,47,Diamond
CC94410,40,Diamond
CC24209,40,Diamond
CC13359,47,Diamond
CC43917,45,Diamond
CC79949,31,Diamond
CC38525,46,Diamond
CC58122,50,Diamond
CC20174,48,Diamond
CC63124,45,Diamond
CC63099,44,Diamond
CC25257,38,Diamond
CC55737,33,Diamond
CC26894,40,Diamond
CC81024,49,Diamond
CC31001,27,Diamond
CC51748,33,Diamond
CC46709,20,Diamond
CC52667,44,Diamond
CC99702,31,Diamond
CC18007,20,Diamond
CC51499,24,Diamond
CC94283,34,Diamond
CC65638,32,Diamond
CC19038,35,Diamond
CC11154,39,Diamond
CC71489,35,Diamond
CC19739,28,Diamond
CC54366,35,Diamond
CC47922,28,Diamond
CC32108,34,Diamond
CC92335,47,Diamond
CC16796,44,Diamond
CC27420,28,Diamond
CC54881,32,Diamond
CC91508,35,Diamond
CC57806,36,Diamond
CC28559,50,Diamond
CC44722,36,Diamond
CC56036,34,Diamond
CC33930,40,Diamond
CC12844,41,Gold
CC73442,27,Gold
CC33386,44,Gold
CC44196,47,Gold
CC70263,37,Gold
CC71494,33,Gold
CC42815,47,Gold
CC83918,50,Gold
CC45458,32,Gold
CC26950,35,Gold
CC86374,22,Gold
CC25835,37,Gold
CC20114,20,Gold
CC74482,50,Gold
CC47105,30,Gold
CC20208,29,Gold
CC49301,20,Gold
CC70734,40,Gold
CC32056,46,Gold
CC61685,22,Gold
CC31413,24,Gold
CC97932,34,Gold
CC58330,37,Gold
CC67688,28,Gold
CC21674,33,Gold
CC91386,21,Gold
CC76082,20,Gold
CC52582,23,Gold
CC67511,40,Gold
CC63405,25,Gold
CC73642,24,Gold
CC66100,21,Gold
CC48244,22,Gold
CC36651,45,Gold
CC25425,23,Gold
CC87989,50,Gold
CC94742,50,Gold
CC24169,32,Gold
CC62990,49,Gold
CC97550,36,Gold
CC46960,28,Gold
CC74125,36,Gold
CC17069,36,Gold
CC69799,32,Gold
CC50354,34,Gold
CC17005,36,Gold
CC98596,40,Gold
CC91292,30,Gold
CC67055,27,Gold
CC15397,21,Gold
CC63968,34,Gold
CC37368,21,Gold
CC54617,28,Gold
CC77730,42,Gold
CC28582,23,Gold
CC33589,30,Gold
CC90401,48,Gold
CC62361,32,Gold
CC70991,37,Gold
CC13485,29,Gold
CC44411,45,Gold
CC77848,29,Gold
CC80100,34,Gold
CC95620,28,Gold
CC79707,20,Gold
CC43330,25,Gold
CC77309,46,Gold
CC92538,47,Gold
CC59716,50,Gold
CC17003,50,Gold
CC93137,37,Gold
CC51444,49,Gold
CC52258,40,Gold
CC25491,24,Gold
CC99747,34,Gold
CC85364,40,Gold
CC64958,32,Gold
CC94465,21,Gold
CC50515,35,Gold
CC82059,25,Gold
CC30711,27,Gold
CC65080,41,Gold
CC95533,47,Gold
CC90435,46,Gold
CC36352,31,Gold
CC31779,25,Gold
CC64794,22,Gold
CC17496,21,Gold
CC81498,29,Gold
CC53543,38,Gold
CC78862,27,Gold
CC16994,33,Gold
CC67765,47,Gold
CC82106,38,Gold
CC48782,36,Gold
CC47974,40,Gold
CC75722,33,Gold
CC65455,38,Gold
CC81252,28,Gold
CC55162,30,Gold
CC87177,38,Gold
CC63337,28,Gold
CC62856,27,Gold
CC59820,40,Gold
CC18454,38,Gold
CC43405,36,Gold
CC13442,50,Gold
CC76515,36,Gold
CC72117,30,Gold
CC63718,35,Gold
CC66304,41,Gold
CC86435,41,Gold
CC53824,45,Gold
CC60095,37,Gold
CC67397,20,Gold
CC91688,25,Gold
CC23484,25,Gold
CC75284,50,Gold
CC61339,29,Gold
CC42495,23,Gold
CC98239,45,Gold
CC72992,23,Gold
CC17109,20,Gold
CC13763,21,Gold
CC30839,45,Gold
CC53387,20,Gold
CC39894,37,Gold
CC58907,40,Gold
CC12757,32,Gold
CC11563,40,Gold
CC61838,29,Gold
CC66648,50,Gold
CC69887,37,Gold
CC12076,48,Gold
CC60842,44,Gold
CC46165,41,Gold
CC69183,30,Gold
CC74676,33,Gold
CC89522,39,Gold
CC73233,29,Gold
CC92677,25,Gold
CC15018,41,Gold
CC88056,40,Gold
CC48256,34,Gold
CC67324,26,Gold
CC24505,33,Gold
CC42404,35,Gold
CC21134,50,Gold
CC69577,48,Gold
CC50816,39,Gold
CC45894,20,Gold
CC82207,37,Gold
CC97721,34,Gold
CC20264,40,Gold
CC58796,44,Gold
CC86394,43,Gold
CC99783,38,Gold
CC30446,27,Gold
CC30492,49,Gold
CC50627,27,Gold
CC15657,39,Gold
CC39240,42,Gold
CC68010,47,Gold
CC87753,40,Gold
CC44859,40,Gold
CC75162,30,Gold
CC48887,20,Gold
CC35874,38,Gold
CC91818,36,Gold
CC21152,41,Gold
CC36699,32,Gold
CC74406,33,Gold
CC46148,32,Gold
CC74864,36,Gold
CC68575,34,Gold
CC74945,39,Gold
CC58517,32,Gold
CC87000,31,Gold
CC54738,40,Gold
CC70843,40,Gold
CC49392,43,Gold
CC51349,43,Gold
CC25979,41,Gold
CC57529,20,Gold
CC84044,40,Gold
CC34207,23,Gold
CC69818,21,Gold
CC76554,45,Gold
CC82179,38,Gold
CC40672,26,Gold
CC74081,32,Gold
CC12569,23,Gold
CC14775,23,Gold
CC42636,23,Gold
CC59061,27,Gold
CC25055,31,Gold
CC59570,28,Gold
CC42066,48,Gold
CC37034,35,Gold
CC13982,30,Gold
CC54391,38,Gold
CC68290,25,Gold
CC22520,41,Gold
CC85737,36,Gold
CC37555,22,Gold
CC78106,24,Gold
CC44666,44,Gold
CC16769,37,Gold
CC93244,22,Gold
CC89256,29,Gold
CC33848,40,Gold
CC39256,41,Gold
CC65668,47,Gold
CC73929,38,Gold
CC96061,23,Gold
CC87271,47,Gold
CC84897,42,Gold
CC77278,23,Gold
CC97117,47,Gold
CC73546,25,Gold
CC36444,35,Gold
CC20488,23,Gold
CC66397,27,Gold
CC78930,37,Gold
CC62644,24,Gold
CC14135,40,Gold
CC96094,50,Gold
CC46922,33,Gold
CC26866,27,Gold
CC20600,41,Gold
CC98906,21,Gold
CC29920,45,Gold
CC24906,27,Gold
CC98065,29,Gold
CC19598,35,Gold
CC32667,46,Gold
CC99031,30,Gold
CC79632,36,Gold
CC88708,20,Gold
CC93412,44,Gold
CC60531,44,Gold
CC32862,29,Gold
CC47564,43,Gold
CC63648,27,Gold
CC85181,34,Gold
CC25731,32,Gold
CC37485,27,Gold
CC19983,28,Gold
CC76285,26,Gold
CC13267,33,Gold
CC49044,32,Gold
CC74275,28,Gold
CC85396,28,Gold
CC93841,49,Gold
CC56239,41,Gold
CC22050,50,Gold
CC38614,28,Gold
CC83415,46,Gold
CC39362,30,Gold
CC68029,41,Gold
CC30271,46,Gold
CC54591,33,Gold
CC50789,39,Gold
CC79553,41,Gold
CC71423,47,Gold
CC67668,41,Gold
CC40434,33,Gold
CC69490,20,Gold
CC79427,28,Gold
CC79969,35,Gold
CC30992,20,Gold
CC19604,48,Gold
CC30677,43,Gold
CC29323,43,Gold
CC53465,48,Gold
CC50546,33,Gold
CC94749,41,Gold
CC89881,41,Gold
CC84801,23,Gold
CC44975,39,Gold
CC68197,35,Gold
CC95294,24,Gold
CC82597,46,Gold
CC49028,36,Gold
CC80079,30,Gold
CC95075,46,Gold
CC17411,30,Gold
CC70499,26,Gold
CC37222,22,Gold
CC58333,24,Gold
CC79744,21,Gold
CC38825,23,Gold
CC22271,35,Gold
CC65968,27,Gold
CC86092,29,Gold
CC89758,38,Gold
CC17441,37,Gold
CC39959,40,Gold
CC79703,30,Gold
CC41147,24,Gold
CC82744,48,Gold
CC43515,49,Gold
CC71656,38,Gold
CC97420,38,Gold
CC14911,45,Gold
CC94041,34,Gold
CC89176,31,Gold
CC76310,27,Gold
CC36046,23,Gold
CC50857,27,Gold
CC58253,28,Gold
CC21268,30,Gold
CC56675,21,Gold
CC44821,22,Gold
CC33248,45,Gold
CC49839,42,Gold
CC51327,22,Gold
CC61506,34,Gold
CC44363,43,Gold
CC30068,29,Gold
CC55707,39,Gold
CC60409,20,Gold
CC45937,36,Gold
CC79833,42,Gold
CC22047,34,Gold
CC34784,22,Gold
CC35211,24,Gold
CC15224,23,Gold
CC97465,24,Gold
CC25887,30,Gold
CC53772,29,Gold
CC12328,39,Gold
CC85028,38,Gold
CC70348,45,Gold
CC80537,35,Gold
CC56117,39,Gold
CC68382,31,Gold
CC86644,47,Gold
CC16778,28,Gold
CC29286,39,Gold
CC97882,40,Gold
CC95331,27,Gold
CC81558,49,Gold
CC60697,28,Gold
CC98741,49,Gold
CC37292,45,Gold
